level_0,id_paax,actor_type,sub_type,cs_type,international,regional,domestic,un_type,iso3c,country_name,actor_id,actor_name,abbreviation,alt_names
old,ARM_755,Armed Organization,,,,,,,MMR,Myanmar (Burma),755,Pa-O National Liberation Army,,
old,ARM_756,Armed Organization,,,,,,,MMR,Myanmar (Burma),756,Restoration Council of Shan State,,
old,ARM_757,Armed Organization,,,,,,,MMR,Myanmar (Burma),757,Lahu Democratic Union,LDU,
old,ARM_758,Armed Organization,,,,,,,MMR,Myanmar (Burma),758,Arakan Liberation Party,ALP,
old,ARM_759,Armed Organization,,,,,,,MMR,Myanmar (Burma),759,All Burma Students Democratic Front,,
old,ARM_760,Armed Organization,,,,,,,SYR,Syria,760,Division 13,,
old,ARM_761,Armed Organization,,,,,,,SYR,Syria,761,Jaysh al-Fateheen,,
old,ARM_762,Armed Organization,,,,,,,SYR,Syria,762,Jaysh al-Mujahideen,,
old,ARM_763,Armed Organization,,,,,,,SYR,Syria,763,Division 101,,
old,ARM_764,Armed Organization,,,,,,,SYR,Syria,764,Division 16 Infantry,,
old,ARM_765,Armed Organization,,,,,,,SYR,Syria,765,Sukur Al-Jabal Brigade,,Liwa Suqour al-Jabal | Mountain Hawks Brigade | لواء صقور الجبل
old,ARM_766,Armed Organization,,,,,,,SYR,Syria,766,Shuhadaa Al-Islam Brigade,,
old,ARM_767,Armed Organization,,,,,,,SYR,Syria,767,Liwa Al-Haq,,Truth Brigade
old,ARM_768,Armed Organization,,,,,,,SYR,Syria,768,Ahrar Al-Sham Movement,AAS,Harakat Ahrar al-Sham al-Islamiyya | Islamic Movement of the Freemen of the Levant
old,ARM_769,Armed Organization,,,,,,,SYR,Syria,769,Seif Allah Brigade,,
old,ARM_770,Armed Organization,,,,,,,SYR,Syria,770,Al-Safwa Brigades,,
old,ARM_771,Armed Organization,,,,,,,SYR,Syria,771,Tawhid Army (Jaysh Al-Tawhid),,Liwa al-Tawhid | Unity Brigade
old,ARM_772,Armed Organization,,,,,,,SYR,Syria,772,Al-Sultan Murad Division,,
old,ARM_773,Armed Organization,,,,,,,SYR,Syria,773,Fursan Al-Haqq Brigade,,Knights of Justice Brigade
old,ARM_774,Armed Organization,,,,,,,SYR,Syria,774,Faylaq Al-Sham,,Faylaq Al-Sham | Sham Legion
old,ARM_775,Armed Organization,,,,,,,SYR,Syria,775,Fa-Istaqim-Kama-Omert,,
old,ARM_776,Armed Organization,,,,,,,SYR,Syria,776,The Shami Front,,
old,ARM_777,Armed Organization,,,,,,,SYR,Syria,777,The Sham Front,,
old,ARM_778,Armed Organization,,,,,,,SYR,Syria,778,Islam Army (Jaysh Al-Islam),,
old,ARM_779,Armed Organization,,,,,,,SYR,Syria,779,Al-Arbaeen Brigades,,
old,ARM_780,Armed Organization,,,,,,,SYR,Syria,780,Faylaq Al-Rahman,FaR,Faylaq Al-Rahman | Rahman Corps
old,ARM_781,Armed Organization,,,,,,,SYR,Syria,781,Al-Furqan Brigades,,
old,ARM_782,Armed Organization,,,,,,,SYR,Syria,782,City of Aleppo Brigades,,
old,ARM_783,Armed Organization,,,,,,,SYR,Syria,783,The Sham Revolutionary Brigades,,
old,ARM_784,Armed Organization,,,,,,,SYR,Syria,784,Nour El-Deen Zenki Movement,HNDZ,
old,ARM_785,Armed Organization,,,,,,,SYR,Syria,785,Islamic Union of Ajnad al-Sham,,
old,ARM_786,Armed Organization,,,,,,,SYR,Syria,786,Authenticity and Development Front,,Asala and Tanmeya Front 
